attraction_id,mission,level,근력,근지구력,유연성,심폐지구력,민첩성,순발력,평형성
4515,충무공 이순신 동상 주변을 10분간 조깅하기.,3,0,1,0,1,0,0,0
4515,충무공 이순신 동상 앞에서 팔굽혀펴기 10회 까지 도전하기.,4,1,1,0,0,0,0,0
4515,동상 주변에서 15분 동안 스트레칭하기.,2,0,0,1,0,0,0,1
4515,충무공 이순신 동상으로부터 30미터 이상 떨어진 곳에서 빛을 잡기 위해 빠르게 이동하기.,5,0,0,0,0,1,1,0
4515,동상 주위를 5바퀴 돌아보며 주변 경치를 즐기기.,3,0,1,0,1,0,0,0
4486,창덕궁 후원 일주하며 아름다운 경치를 담은 사진 촬영하기,3,0,0,1,1,0,0,0
4486,창덕궁 정원을 돌며 다양한 나무와 꽃의 이름 외우기,2,1,0,0,0,0,0,0
4486,후원에서 조용히 걷고 명상하는 시간 가지기,1,0,0,0,1,0,0,1
4486,창덕궁 내부 관람 후 다양한 외국어로 소리 내어 감상평 말하기,4,0,1,0,0,1,0,0
4486,후원의 정원 한 바퀴 도는 동안 친구와 달리기 시합하기,5,0,0,0,1,0,0,0
3881,구강사 주변을 달리며 다양한 스트레칭 동작을 취하고 사진 찍기,3,0,0,1,1,0,0,0
3881,구강사에서 학습 자료를 이용해 다른 사람과 퀴즈 대결하기,2,1,0,0,0,0,1,0
3881,구강사 주변의 나무 그늘에서 요가 자세를 취하고 명상하기,4,0,0,1,0,0,0,1
3881,구강사 복도에서 10분 동안 줄넘기하기,5,0,1,0,0,1,0,0
3881,구강사 앞에서 개인기로 운동하기 (예: 턱걸이, 푸쉬업 등),4,1,1,0,0,0,0,0
4352,3085458 주변 공원에서 30분간 조깅하기.,3,0,1,0,1,0,0,0
4352,주변 계단을 왕복 10회 하여 운동 효과 누리기.,4,1,0,0,1,0,0,0
4352,근처의 운동기구가 있는 공원에서 스트레칭 후 다양한 운동하기.,2,0,1,1,0,0,0,0
4352,친구와 함께 공원에서 줄다리기 게임하기.,3,1,0,0,0,0,1,0
4352,자전거를 타고 주변 한 바퀴 돌아보기.,3,1,0,0,1,0,0,0
3884,주변 공원을 한 바퀴 돌며 조깅하기.,3,0,1,0,1,0,0,0
3884,3112063 근처의 계단을 오르내리며 운동하기.,4,1,0,0,1,0,0,0
3884,근처 벤치에서 스트레칭을 하며 다양한 유연성 동작 수행하기.,2,0,0,1,0,0,0,0
3884,주변 카페에서 20분 간 신체 균형을 유지하며 기다리기.,3,0,1,0,0,0,0,1
3884,3112063 지역에서 다양한 포즈로 10장의 사진 찍기.,2,0,0,1,0,1,0,0
4440,3043794 지역의 한 공원에서 30분 동안 조깅한 후 스트레칭하기,3,0,0,1,1,0,0,0
4440,해변가에서 15분간 스쿼트하고 그 모습 사진찍기,4,1,1,0,0,0,0,0
4440,주변의 계단을 이용해 10층까지 오르내리며 뛰기,5,0,1,0,1,0,0,0
4440,3043794 지역의 공원 벤치에서 1분간 플anking 자세 유지하기,4,1,0,0,0,0,0,1
4440,자전거를 타고 5km 거리 공원 둘레 일주하기,3,0,0,0,1,0,1,0
4164,250362 주변 공원에서 30분간 조깅하고 마지막에 스트레칭하기.,3,0,0,1,1,0,0,0
4164,인근 언덕까지 올라가서 멋진 경치를 배경으로 사진 찍기.,4,1,0,0,1,0,0,0
4164,주변의 계단을 10분간 오르내리고 운동 후 기분 좋게 심호흡하기.,5,0,1,0,1,0,0,0
4164,250362 일대에서 자전거 타고 1시간 이상 돌아보기.,4,1,0,0,1,0,0,0
4164,주변 놀이터에서 스쿼트와 점프 운동을 15분간 연속적으로 실시하기.,3,1,0,0,0,0,1,0
4308,126823 근처의 공원에서 20분 동안 조깅하기.,3,0,0,0,1,0,0,0
4308,126823 인근의 야외 체육시설에서 스트레칭 후 체중을 이용한 스쿼트 15회하기.,4,1,0,1,0,0,0,0
4308,126823 근처의 산업지구를 탐험하며 걷기 1시간 하기.,3,0,1,0,1,0,0,0
4308,126823 주변의 계단을 올라가며 엇갈린 방향으로 달리기 10회 반복하기.,5,1,0,0,0,1,0,0
4308,126823 인근의 자전거 도로에서 30분간 자전거 타기.,3,0,1,0,1,0,0,0
4375,126499에 있는 공원에서 20분 동안 조깅한 후 나무 아래에서 스트레칭 하기.,3,0,0,1,1,0,0,0
4375,126499 주변의 자전거 도로를 한 바퀴 돌고 남은 시간에 자전거 자세로 사진 찍기.,4,1,0,0,1,0,0,0
4375,126499의 통로에서 에어로빅 운동 30분 하기.,4,0,1,0,1,0,0,0
4375,126499 근처의 계단에서 10회 오르내리기 후 다리 스트레칭 하기.,5,1,0,1,0,0,0,0
4375,126499의 야외 공간에서 팔굽혀펴기 20회 진행하기.,4,1,1,0,0,0,0,0
4274,주변 공원을 한 바퀴 걷고, 중간에 스트레칭을 하며 유연성을 기르기.,3,0,1,1,0,0,0,0
4274,주변의 언덕 정상까지 빠르게 올라가고, 정상에서 숨 고르기 후 사진 찍기.,4,1,0,0,1,0,0,0
4274,근처 카페 앞에서 5분 동안 제자리 뛰기 하고, 그 후 물 한 모금 마시기.,3,0,0,0,1,0,1,0
4274,동네에서 20회 스쿼트를 한 후, 주변의 벤치에서 잠깐 휴식하기.,4,1,1,0,0,0,0,0
4274,주변 상점에서 10분 동안 빠르게 걷기 및 다양한 물건 구경하기.,2,0,0,0,1,1,0,0
3883,주변 공원에서 20분 동안 조깅한 후 벤치에 앉아 스트레칭 기구를 사용하여 스트레칭하기,3,0,0,1,1,0,0,0
3883,근처 카페까지 빠르게 걷고, 카페에서 자신이 좋아하는 음료와 함께 인증샷 촬영하기,2,0,0,0,1,0,1,0
3883,2553960 지역의 명소를 돌아다니며 5가지 포즈로 사진 촬영하기,4,1,0,1,0,0,0,0
3883,주변 경로를 따라 사이클링 30분 진행하기,3,0,1,0,1,0,0,0
3883,주변의 작은 언덕을 오르고 내려가며 다양한 스쿼트 동작하기,5,1,0,0,0,1,0,0
